HebrewName__c,HebrewShortName__c,Name,ShortName__c,Type__c,
ספר החוקים,סח,Statute Book,statuteBook,OfficialGazette,
קובץ התקנות,קת,Secondary Legislation,secondaryLegislation,OfficialGazette,
"קובץ התקנות - שיעורי מכס, מס קניה ותשלומי חובה",קת_מקח,"Customs rates, purchase tax and mandatory payments Regulations",taxesSL,OfficialGazette,
קובץ התקנות - חיקוקי שלטון מקומי,קת_חשם,Municipal Regulation,municipalSL,OfficialGazette,
הצעות חוק הממשלה,הח_הממשלה,Government Bills,governmentBills,OfficialGazette,
הצעות חוק הכנסת,הח_הכנסת,Knesset Bills,knessetBills,OfficialGazette,
ילקוט הפרסומים,יפ,Official Public Record,publicNotices,OfficialGazette,
הצעות חוק כנסת וממשלה,הח,Knesset and Government Bills,knessetGovernmentBills,OfficialGazette,
"דיני מדינת ישראל: הצעת נוסח חדש לחוקים שהתקבלו בהליך חקיקה מיוחד לפי סעיף 16 לפקודת סדרי השלטון והמשפט, התש""ח-1948",הנח,Laws of the State of Israel (New Version)  bills,newVersionBills,OfficialGazette,
"דיני מדינת ישראל - נוסח חדש לפי  סעיף 16 לפקודת סדרי השלטון והמשפט, התש""ח-1948",נח,Laws of the State of Israel (New Version) ,newVersionLaws,OfficialGazette,
עיתון רשמי - מועצת המדינה הזמנית,ער_ממז,The Official Gazette - Provisional State Council,ProvisionalStateCouncilOJ,OfficialGazette,
חוקי תקציב,חת,Budget Laws,budgetLaws,OfficialGazette,
חוקי תקציב - הצעות,הח_תקציב,Budget Bills,budgetBills,OfficialGazette,
חוק־יסוד,חוק_יסוד,Basic Law,basicLaw,act,
חוק ,חוק,Law,law,act,
פקודה ,פקודה,Ordinance,ordinance,act,
דבר המלך,דבר_המלך,King’s Order in Council,koc,act,
חוק עותומני,חע,Ottoman Law,ottomanLaw,act,
חוק ירדני,חיר,Jordanian Law,jordanianLaw,act,
תקנות שעת חירום,תקשח,Emergency Regulations,emergencyRegulations,act,
תקנון הכנסת,תקנון_הכנסת,Knesset Rules of Procedure,knessetRulesProcedure,act,
תקנון,תקנון,Rules of Procedure,rulesProcedure,act,
כלל,כלל,Rule,rule,act,
תקנה,תקנה,Regulation,regulation,act,
צו,צו,Order ,order ,act,
הוראה,הוראה,Directive,direrctive,act,
חוק עזר ,חעז,Municipal Bylaw,bylaw,act,
אכרזה / הכרזה,הכרזה,Declaration,declaration,act,
ההכרזה על מדינת ישראל,,,,act,
החלטה,החלטה,Resolution,resolution,act,
מבחן תמיכה,מבחן_תמיכה,Funding Criteria,fundingCriteria,act,
תכנית,תכנית,Program ,program ,act,
נוהל,נוהל,Procedure,procedure,act,
הנחיה,הנחיה,Guideline,guideline,act,
רישיון,רישיון,License ,license ,act,
חקיקה באיוש,ח_איוש,Security Provisions Order ,securityProvisionsOrder,act,
הודעה,הודעה,Notice,notice,act,
מנשר,מנשר,Proclamation,proclamation,act,
